Date : 2021-05-25 18:36:16
Directory : c:\repos\hug-moms
Total : 364 files,  77055 codes, 638 comments, 4870 blanks, all 82563 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| src\app\helper-gifts                                                                         |          7 |        287 |          1 |         32 |        320 |
| src\app\helpers                                                                              |          4 |        991 |          2 |        171 |      1,164 |
| src\app\import-from-excel                                                                    |          3 |      1,870 |         34 |        218 |      2,122 |
| src\app\import-gifts                                                                         |          2 |         62 |          2 |         11 |         75 |
| src\app\import-helpers-from-excel                                                            |          3 |        875 |          3 |        146 |      1,024 |
| src\app\in-route-follow-up                                                                   |          4 |        430 |          0 |         40 |        470 |
| src\app\languages                                                                            |         10 |     22,824 |          0 |          0 |     22,824 |
| src\app\login-from-sms                                                                       |          3 |         35 |          0 |         12 |         47 |
| src\app\manage                                                                               |          7 |      1,521 |          0 |        191 |      1,712 |
| src\app\map                                                                                  |          3 |        246 |          7 |         42 |        295 |
| src\app\merge-families                                                                       |          3 |        222 |          0 |         25 |        247 |
| src\app\mlt-families                                                                         |          3 |        623 |          0 |         90 |        713 |
| src\app\model-shared                                                                         |          1 |        599 |         16 |         75 |        690 |
| src\app\my-families                                                                          |          4 |        450 |          0 |         66 |        516 |
| src\app\news                                                                                 |          5 |        221 |          0 |         42 |        263 |
| src\app\overview                                                                             |          4 |        407 |          0 |         52 |        459 |
| src\app\playback                                                                             |          3 |        303 |          0 |         50 |        353 |
| src\app\preview-family                                                                       |          3 |         32 |          0 |         11 |         43 |
| src\app\print-volunteers                                                                     |          3 |         71 |          0 |          9 |         80 |
| src\app\register-donor                                                                       |          3 |        280 |         24 |         38 |        342 |
| src\app\register-helper                                                                      |          3 |         99 |          0 |         15 |        114 |
| src\app\resgister-url                                                                        |          4 |         91 |          0 |         21 |        112 |
| src\app\select-company                                                                       |          3 |         75 |          0 |         23 |         98 |
| src\app\select-family                                                                        |          3 |        199 |          0 |         34 |        233 |
| src\app\select-helper                                                                        |          3 |        304 |          2 |         48 |        354 |
| src\app\select-list                                                                          |          3 |         69 |          0 |         13 |         82 |
| src\app\select-popup                                                                         |          7 |        402 |          4 |         61 |        467 |
| src\app\select-popup\input-area                                                              |          3 |         89 |          0 |         16 |        105 |
| src\app\select-popup\yes-no-question                                                         |          3 |         68 |          0 |          7 |         75 |
| src\app\self-pickup                                                                          |          3 |         96 |          0 |         19 |        115 |
| src\app\server                                                                               |          8 |      1,147 |        205 |        210 |      1,562 |
| src\app\shared                                                                               |          5 |        614 |         11 |        125 |        750 |
| src\app\shipment-assign-screen                                                               |          3 |        415 |          4 |         48 |        467 |
| src\app\show-on-map                                                                          |          3 |         56 |          0 |         15 |         71 |
| src\app\site-overview                                                                        |          3 |         34 |          0 |         12 |         46 |
| src\app\sites                                                                                |          2 |        138 |          1 |         23 |        162 |
| src\app\test-map                                                                             |          3 |         13 |          0 |         18 |         31 |
| src\app\token-replacer                                                                       |          3 |         37 |          0 |          9 |         46 |
| src\app\update-comment                                                                       |          3 |        153 |          0 |         33 |        186 |
| src\app\update-family-dialog                                                                 |          3 |        563 |          0 |         72 |        635 |
| src\app\update-group-dialog                                                                  |          3 |         75 |          0 |         25 |        100 |
| src\app\users                                                                                |          6 |        317 |          3 |         67 |        387 |
| src\app\users\login                                                                          |          3 |        237 |          0 |         39 |        276 |
| src\app\users\update-info                                                                    |          3 |         80 |          3 |         28 |        111 |
| src\app\volunteer-cross-assign                                                               |          3 |        221 |          3 |         40 |        264 |
| src\app\weekly-report-mlt                                                                    |          3 |        233 |          0 |         49 |        282 |
| src\assets                                                                                   |          1 |         34 |          0 |          0 |         34 |
| src\environments                                                                             |          2 |          6 |         11 |          9 |         26 |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                     | language     | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\repos\hug-moms\README.md                                                                  | Markdown     |         36 |          0 |         19 |         55 |
| c:\repos\hug-moms\angular.json                                                               | JSON         |        110 |         35 |          0 |        145 |
| c:\repos\hug-moms\create-db.bat                                                              | Batch        |         11 |          0 |          7 |         18 |
| c:\repos\hug-moms\debug.log                                                                  | Log          |         54 |          0 |          1 |         55 |
| c:\repos\hug-moms\deploy-docs.sh                                                             | Shell Script |          6 |          0 |          0 |          6 |
| c:\repos\hug-moms\docs\.vuepress\api-sidebar-relative.json                                   | JSON         |         82 |          0 |          0 |         82 |
| c:\repos\hug-moms\docs\.vuepress\api-sidebar.json                                            | JSON         |         82 |          0 |          0 |         82 |
| c:\repos\hug-moms\docs\.vuepress\components\Foo\Bar.vue                                      | Vue          |         14 |          0 |          2 |         16 |
| c:\repos\hug-moms\docs\.vuepress\components\OtherComponent.vue                               | Vue          |          3 |          0 |          1 |          4 |
| c:\repos\hug-moms\docs\.vuepress\components\demo-component.vue                               | Vue          |         14 |          0 |          2 |         16 |
| c:\repos\hug-moms\docs\.vuepress\config.js                                                   | JavaScript   |         55 |         29 |          6 |         90 |
| c:\repos\hug-moms\docs\.vuepress\dist\404.html                                               | HTML         |         21 |          0 |          2 |         23 |
| c:\repos\hug-moms\docs\.vuepress\dist\apis.html                                              | HTML         |         23 |          0 |          2 |         25 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\css\0.styles.a79efd69.css                       | CSS          |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\img\search.83621669.svg                         | XML          |          1 |          0 |          1 |          2 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\10.39454030.js                               | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\11.2c660ae8.js                               | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\12.a009a3d7.js                               | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\13.6e71dd79.js                               | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\14.8b98396d.js                               | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\15.cffd93af.js                               | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\16.f1414f47.js                               | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\17.ba34c10f.js                               | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\18.6d44a9ed.js                               | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\19.278a0245.js                               | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\2.93efd541.js                                | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\20.7cf290c9.js                               | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\21.31a9206a.js                               | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\22.a4c1c022.js                               | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\23.c1119b34.js                               | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\24.e7319812.js                               | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\25.4bdf01d7.js                               | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\26.5997051e.js                               | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\3.7d956e11.js                                | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\4.804926eb.js                                | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\5.db83d47c.js                                | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\6.2c9561ee.js                                | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\7.a650c46b.js                                | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\8.247f22d3.js                                | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\9.f8b15160.js                                | JavaScript   |          1 |          0 |          0 |          1 |
| c:\repos\hug-moms\docs\.vuepress\dist\assets\js\app.360a00c9.js                              | JavaScript   |          3 |          5 |          0 |          8 |
| c:\repos\hug-moms\docs\.vuepress\dist\config\index.html                                      | HTML         |         23 |          0 |          2 |         25 |
| c:\repos\hug-moms\docs\.vuepress\dist\guide\active-deliveries.html                           | HTML         |         34 |          0 |          2 |         36 |
| c:\repos\hug-moms\docs\.vuepress\dist\guide\add-family.html                                  | HTML         |         31 |          0 |          2 |         33 |
| c:\repos\hug-moms\docs\.vuepress\dist\guide\add-to-home-screen.html                          | HTML         |         31 |          0 |          2 |         33 |
| c:\repos\hug-moms\docs\.vuepress\dist\guide\delivery-followup.html                           | HTML         |         33 |          0 |          2 |         35 |
| c:\repos\hug-moms\docs\.vuepress\dist\guide\distribution-map.html                            | HTML         |         32 |          0 |          2 |         34 |
| c:\repos\hug-moms\docs\.vuepress\dist\guide\events.html                                      | HTML         |         31 |          0 |          2 |         33 |
| c:\repos\hug-moms\docs\.vuepress\dist\guide\families.html                                    | HTML         |         35 |          0 |          2 |         37 |
| c:\repos\hug-moms\docs\.vuepress\dist\guide\family-info.html                                 | HTML         |         42 |          0 |          2 |         44 |
| c:\repos\hug-moms\docs\.vuepress\dist\guide\import-from-excel.html                           | HTML         |         31 |          0 |          2 |         33 |
| c:\repos\hug-moms\docs\.vuepress\dist\guide\index.html                                       | HTML         |         30 |          0 |          2 |         32 |
| c:\repos\hug-moms\docs\.vuepress\dist\guide\new-delivery-day.html                            | HTML         |         34 |          0 |          2 |         36 |
| c:\repos\hug-moms\docs\.vuepress\dist\guide\no-addresses.html                                | HTML         |         27 |          0 |          2 |         29 |
| c:\repos\hug-moms\docs\.vuepress\dist\guide\requires-care.html                               | HTML         |         48 |          0 |          2 |         50 |
| c:\repos\hug-moms\docs\.vuepress\dist\guide\use-table.html                                   | HTML         |         35 |          0 |          2 |         37 |
| c:\repos\hug-moms\docs\.vuepress\dist\guide\volunteers.html                                  | HTML         |         33 |          0 |          2 |         35 |
| c:\repos\hug-moms\docs\.vuepress\dist\index.html                                             | HTML         |         27 |          0 |          2 |         29 |
| c:\repos\hug-moms\docs\.vuepress\dist\model.html                                             | HTML         |         23 |          0 |          2 |         25 |
| c:\repos\hug-moms\docs\.vuepress\enhanceApp.js                                               | JavaScript   |          7 |          6 |          2 |         15 |
| c:\repos\hug-moms\docs\.vuepress\styles\index.styl                                           | Stylus       |         22 |          8 |          0 |         30 |
| c:\repos\hug-moms\docs\.vuepress\styles\palette.styl                                         | Stylus       |          4 |          5 |          2 |         11 |
| c:\repos\hug-moms\docs\README.md                                                             | Markdown     |          9 |          0 |          2 |         11 |
| c:\repos\hug-moms\docs\apis.md                                                               | Markdown     |         67 |          0 |         12 |         79 |
| c:\repos\hug-moms\docs\config\README.md                                                      | Markdown     |         10 |          0 |          6 |         16 |
| c:\repos\hug-moms\docs\debug.log                                                             | Log          |          2 |          0 |          1 |          3 |
| c:\repos\hug-moms\docs\guide\README.md                                                       | Markdown     |         79 |          0 |         49 |        128 |
| c:\repos\hug-moms\docs\guide\active-deliveries.md                                            | Markdown     |         60 |          0 |         21 |         81 |
| c:\repos\hug-moms\docs\guide\add-family.md                                                   | Markdown     |         14 |          0 |         11 |         25 |
| c:\repos\hug-moms\docs\guide\add-to-home-screen.md                                           | Markdown     |         25 |          0 |         17 |         42 |
| c:\repos\hug-moms\docs\guide\delivery-followup.md                                            | Markdown     |         25 |          0 |         12 |         37 |
| c:\repos\hug-moms\docs\guide\distribution-map.md                                             | Markdown     |         15 |          0 |          9 |         24 |
| c:\repos\hug-moms\docs\guide\events.md                                                       | Markdown     |         33 |          0 |         23 |         56 |
| c:\repos\hug-moms\docs\guide\families.md                                                     | Markdown     |         49 |          0 |         28 |         77 |
| c:\repos\hug-moms\docs\guide\family-info.md                                                  | Markdown     |        109 |          0 |         43 |        152 |
| c:\repos\hug-moms\docs\guide\import-from-excel.md                                            | Markdown     |          3 |          0 |          3 |          6 |
| c:\repos\hug-moms\docs\guide\new-delivery-day.md                                             | Markdown     |         30 |          0 |         19 |         49 |
| c:\repos\hug-moms\docs\guide\no-addresses.md                                                 | Markdown     |          2 |          0 |          0 |          2 |
| c:\repos\hug-moms\docs\guide\requires-care.md                                                | Markdown     |         43 |          0 |         22 |         65 |
| c:\repos\hug-moms\docs\guide\use-table.md                                                    | Markdown     |         48 |          0 |         35 |         83 |
| c:\repos\hug-moms\docs\guide\volunteers.md                                                   | Markdown     |         42 |          0 |         32 |         74 |
| c:\repos\hug-moms\docs\model.md                                                              | Markdown     |        368 |          0 |         40 |        408 |
| c:\repos\hug-moms\e2e\src\app.e2e-spec.ts                                                    | TypeScript   |         11 |          0 |          4 |         15 |
| c:\repos\hug-moms\e2e\src\app.po.ts                                                          | TypeScript   |          9 |          0 |          3 |         12 |
| c:\repos\hug-moms\e2e\tsconfig.e2e.json                                                      | JSON         |         13 |          0 |          0 |         13 |
| c:\repos\hug-moms\move-db-from-one-to-other.bat                                              | Batch        |          6 |          0 |          0 |          6 |
| c:\repos\hug-moms\package-lock.json                                                          | JSON         |     21,964 |          0 |          1 |     21,965 |
| c:\repos\hug-moms\package.json                                                               | JSON         |        124 |          0 |          1 |        125 |
| c:\repos\hug-moms\proxy.conf.json                                                            | JSON         |         87 |          0 |          1 |         88 |
| c:\repos\hug-moms\publish-all.bat                                                            | Batch        |         26 |          0 |          1 |         27 |
| c:\repos\hug-moms\src\app\address-input\address-input.component.html                         | HTML         |          5 |          0 |          1 |          6 |
| c:\repos\hug-moms\src\app\address-input\address-input.component.scss                         | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\address-input\address-input.component.ts                           | TypeScript   |         96 |          0 |         12 |        108 |
| c:\repos\hug-moms\src\app\app-routing.module.ts                                              | TypeScript   |        115 |          2 |         47 |        164 |
| c:\repos\hug-moms\src\app\app.component.html                                                 | HTML         |         66 |          0 |         16 |         82 |
| c:\repos\hug-moms\src\app\app.component.scss                                                 | SCSS         |         58 |          2 |          3 |         63 |
| c:\repos\hug-moms\src\app\app.component.spec.ts                                              | TypeScript   |        347 |          2 |         27 |        376 |
| c:\repos\hug-moms\src\app\app.component.ts                                                   | TypeScript   |        123 |          0 |         23 |        146 |
| c:\repos\hug-moms\src\app\app.module.ts                                                      | TypeScript   |        264 |          0 |         61 |        325 |
| c:\repos\hug-moms\src\app\asign-family\asign-family.component.html                           | HTML         |        141 |          3 |         31 |        175 |
| c:\repos\hug-moms\src\app\asign-family\asign-family.component.scss                           | SCSS         |         85 |          2 |          6 |         93 |
| c:\repos\hug-moms\src\app\asign-family\asign-family.component.ts                             | TypeScript   |      1,034 |          0 |        170 |      1,204 |
| c:\repos\hug-moms\src\app\asign-family\route-strategy.ts                                     | TypeScript   |        231 |          1 |         33 |        265 |
| c:\repos\hug-moms\src\app\asign-family\send-sms-action.ts                                    | TypeScript   |        175 |          0 |         37 |        212 |
| c:\repos\hug-moms\src\app\assign-escort\assign-escort.component.html                         | HTML         |         47 |          0 |          4 |         51 |
| c:\repos\hug-moms\src\app\assign-escort\assign-escort.component.scss                         | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\assign-escort\assign-escort.component.ts                           | TypeScript   |        147 |          0 |         17 |        164 |
| c:\repos\hug-moms\src\app\auth\auth-service.ts                                               | TypeScript   |        306 |          0 |         66 |        372 |
| c:\repos\hug-moms\src\app\auth\auth-tests.spec.ts                                            | TypeScript   |        230 |          0 |         17 |        247 |
| c:\repos\hug-moms\src\app\auth\login-response.ts                                             | TypeScript   |          5 |          0 |          1 |          6 |
| c:\repos\hug-moms\src\app\auth\roles.ts                                                      | TypeScript   |         64 |          0 |         20 |         84 |
| c:\repos\hug-moms\src\app\basket-summary\basket-summary.component.html                       | HTML         |         39 |          0 |         10 |         49 |
| c:\repos\hug-moms\src\app\basket-summary\basket-summary.component.scss                       | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\basket-summary\basket-summary.component.ts                         | TypeScript   |         50 |          0 |          4 |         54 |
| c:\repos\hug-moms\src\app\common-questions\common-questions.component.html                   | HTML         |         41 |          0 |          5 |         46 |
| c:\repos\hug-moms\src\app\common-questions\common-questions.component.scss                   | SCSS         |         15 |          0 |          1 |         16 |
| c:\repos\hug-moms\src\app\common-questions\common-questions.component.ts                     | TypeScript   |         35 |          0 |          8 |         43 |
| c:\repos\hug-moms\src\app\create-new-event\create-new-event.ts                               | TypeScript   |        170 |          0 |         35 |        205 |
| c:\repos\hug-moms\src\app\custom-reuse-controller-router-strategy.ts                         | TypeScript   |         86 |          5 |         12 |        103 |
| c:\repos\hug-moms\src\app\date-range\date-range.component.html                               | HTML         |         17 |          0 |          1 |         18 |
| c:\repos\hug-moms\src\app\date-range\date-range.component.scss                               | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\date-range\date-range.component.ts                                 | TypeScript   |         68 |          0 |         11 |         79 |
| c:\repos\hug-moms\src\app\delivery-follow-up\HelpersAndStats.ts                              | TypeScript   |         72 |          0 |         15 |         87 |
| c:\repos\hug-moms\src\app\delivery-follow-up\delivery-follow-up.component.html               | HTML         |         43 |          0 |          7 |         50 |
| c:\repos\hug-moms\src\app\delivery-follow-up\delivery-follow-up.component.scss               | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\delivery-follow-up\delivery-follow-up.component.ts                 | TypeScript   |        222 |          1 |         42 |        265 |
| c:\repos\hug-moms\src\app\delivery-history\delivery-history.component.html                   | HTML         |          9 |          0 |          3 |         12 |
| c:\repos\hug-moms\src\app\delivery-history\delivery-history.component.scss                   | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\delivery-history\delivery-history.component.ts                     | TypeScript   |        365 |          0 |         46 |        411 |
| c:\repos\hug-moms\src\app\delivery-reception\delivery-reception.component.html               | HTML         |         12 |          0 |          1 |         13 |
| c:\repos\hug-moms\src\app\delivery-reception\delivery-reception.component.scss               | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\delivery-reception\delivery-reception.component.ts                 | TypeScript   |        154 |          0 |         25 |        179 |
| c:\repos\hug-moms\src\app\distribution-map\distribution-map.component.html                   | HTML         |         46 |          0 |         11 |         57 |
| c:\repos\hug-moms\src\app\distribution-map\distribution-map.component.scss                   | SCSS         |          3 |          0 |          0 |          3 |
| c:\repos\hug-moms\src\app\distribution-map\distribution-map.component.ts                     | TypeScript   |        430 |         17 |         94 |        541 |
| c:\repos\hug-moms\src\app\duplicate-families\duplicate-families.component.html               | HTML         |         23 |          0 |          2 |         25 |
| c:\repos\hug-moms\src\app\duplicate-families\duplicate-families.component.scss               | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\duplicate-families\duplicate-families.component.ts                 | TypeScript   |        225 |          1 |         23 |        249 |
| c:\repos\hug-moms\src\app\edit-comment-dialog\edit-comment-dialog.component.html             | HTML         |         18 |          0 |         13 |         31 |
| c:\repos\hug-moms\src\app\edit-comment-dialog\edit-comment-dialog.component.scss             | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\edit-comment-dialog\edit-comment-dialog.component.ts               | TypeScript   |         22 |          0 |          4 |         26 |
| c:\repos\hug-moms\src\app\events\events.component.html                                       | HTML         |          6 |          0 |          0 |          6 |
| c:\repos\hug-moms\src\app\events\events.component.scss                                       | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\events\events.component.ts                                         | TypeScript   |        147 |          0 |         12 |        159 |
| c:\repos\hug-moms\src\app\events\events.ts                                                   | TypeScript   |        297 |          0 |         22 |        319 |
| c:\repos\hug-moms\src\app\families\BasketType.ts                                             | TypeScript   |         57 |          0 |         12 |         69 |
| c:\repos\hug-moms\src\app\families\CallStatus.ts                                             | TypeScript   |         13 |          0 |          5 |         18 |
| c:\repos\hug-moms\src\app\families\DeliveryStatus.ts                                         | TypeScript   |        106 |          7 |         16 |        129 |
| c:\repos\hug-moms\src\app\families\FamilyDeliveries.ts                                       | TypeScript   |        703 |          3 |         66 |        772 |
| c:\repos\hug-moms\src\app\families\FamilySources.ts                                          | TypeScript   |         32 |          0 |          5 |         37 |
| c:\repos\hug-moms\src\app\families\FamilyStatus.ts                                           | TypeScript   |         22 |          0 |          8 |         30 |
| c:\repos\hug-moms\src\app\families\YesNo.ts                                                  | TypeScript   |         11 |          0 |          5 |         16 |
| c:\repos\hug-moms\src\app\families\columnOrderAndWidthSaver.ts                               | TypeScript   |         56 |          0 |          1 |         57 |
| c:\repos\hug-moms\src\app\families\families.component.html                                   | HTML         |         43 |          3 |          9 |         55 |
| c:\repos\hug-moms\src\app\families\families.component.scss                                   | SCSS         |         22 |          0 |          2 |         24 |
| c:\repos\hug-moms\src\app\families\families.component.ts                                     | TypeScript   |        657 |          0 |        114 |        771 |
| c:\repos\hug-moms\src\app\families\families.ts                                               | TypeScript   |      1,059 |         17 |        134 |      1,210 |
| c:\repos\hug-moms\src\app\families\familyActions.ts                                          | TypeScript   |        418 |          0 |         44 |        462 |
| c:\repos\hug-moms\src\app\families\familyActionsWiring.ts                                    | TypeScript   |        155 |          0 |         44 |        199 |
| c:\repos\hug-moms\src\app\families\stats-action.ts                                           | TypeScript   |         84 |          0 |         17 |        101 |
| c:\repos\hug-moms\src\app\family-deliveries\family-deliveries-actions.ts                     | TypeScript   |        415 |          1 |         54 |        470 |
| c:\repos\hug-moms\src\app\family-deliveries\family-deliveries-stats.ts                       | TypeScript   |        188 |          0 |         25 |        213 |
| c:\repos\hug-moms\src\app\family-deliveries\family-deliveries.component.html                 | HTML         |         45 |          0 |         14 |         59 |
| c:\repos\hug-moms\src\app\family-deliveries\family-deliveries.component.scss                 | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\family-deliveries\family-deliveries.component.ts                   | TypeScript   |        905 |          5 |         85 |        995 |
| c:\repos\hug-moms\src\app\family-in-list\family-in-list.component.html                       | HTML         |         24 |          0 |          3 |         27 |
| c:\repos\hug-moms\src\app\family-in-list\family-in-list.component.scss                       | SCSS         |         14 |          0 |          4 |         18 |
| c:\repos\hug-moms\src\app\family-in-list\family-in-list.component.ts                         | TypeScript   |         68 |          0 |         16 |         84 |
| c:\repos\hug-moms\src\app\family-info\family-info.component.html                             | HTML         |        118 |          0 |         25 |        143 |
